Town,ACS2017,ACS2017moe
Andover,3179,133
Ansonia,18953,27
Ashford,4254,25
Avon,18381,27
Barkhamsted,3693,17
Beacon Falls,6108,18
Berlin,20584,23
Bethany,5526,19
Bethel,19526,44
Bethlehem,3490,25
Bloomfield,20848,27
Bolton,4947,26
Bozrah,2587,20
Branford,28149,36
Bridgeport,147586,53
Bridgewater,1681,116
Bristol,60498,55
Brookfield,17064,34
Brooklyn,8232,20
Burlington,9598,35
Canaan,1128,133
Canterbury,5074,17
Canton,10339,26
Chaplin,2365,149
Cheshire,29274,29
Chester,4286,21
Clinton,13041,27
Colchester,16015,21
Colebrook,1471,150
Columbia,5442,23
Cornwall,1364,151
Coventry,12458,47
Cromwell,14021,23
Danbury,84573,38
Darien,21742,38
Deep River,4547,47
Derby,12700,21
Durham,7292,20
East Granby,5220,141
East Haddam,9072,32
East Hampton,12890,33
East Hartford,50812,37
East Haven,29006,29
East Lyme,18883,64
East Windsor,11409,32
Eastford,1639,117
Easton,7607,24
Ellington,15948,33
Enfield,44608,75
Essex,6588,20
Fairfield,61611,41
Farmington,25596,32
Franklin,1908,97
Glastonbury,34688,34
Goshen,2914,15
Granby,11323,23
Greenwich,62782,59
Griswold,11791,20
Groton,39492,37
Guilford,22377,35
Haddam,8303,19
Hamden,61493,49
Hampton,1829,114
Hartford,124390,85
Hartland,2083,140
Harwinton,5526,36
Hebron,9550,19
Kent,2853,22
Killingly,17160,20
Killingworth,6441,19
Lebanon,7242,17
Ledyard,14926,22
Lisbon,4300,16
Litchfield,8252,19
Lyme,2423,99
Madison,18247,20
Manchester,58172,45
Mansfield,26019,25
Marlborough,6420,18
Meriden,60241,33
Middlebury,7658,34
Middlefield,4402,18
Middletown,46747,35
Milford,53867,29
Monroe,19766,38
Montville,19384,26
Morris,2367,166
Naugatuck,31649,41
New Britain,73069,33
New Canaan,20357,26
New Fairfield,14091,25
New Hartford,6794,18
New Haven,130884,56
New London,27147,91
New Milford,27380,27
Newington,30603,33
Newtown,28030,30
Norfolk,1442,154
North Branford,14275,33
North Canaan,3331,17
North Haven,23877,28
North Stonington,5255,19
Norwalk,88537,46
Norwich,39875,46
Old Lyme,7494,22
Old Saybrook,10162,18
Orange,13981,26
Oxford,12972,22
Plainfield,15138,29
Plainville,17805,37
Plymouth,11888,36
Pomfret,4184,36
Portland,9391,44
Preston,4693,21
Prospect,9748,23
Putnam,9395,21
Redding,9274,51
Ridgefield,25206,54
Rocky Hill,20015,28
Roxbury,2231,194
Salem,4162,50
Salisbury,3658,20
Scotland,1691,142
Seymour,16579,26
Sharon,2733,22
Shelton,41282,27
Sherman,3654,29
Simsbury,24307,34
Somers,11284,20
South Windsor,25802,32
Southbury,19675,34
Southington,43817,27
Sprague,2942,19
Stafford,11901,28
Stamford,128851,43
Sterling,3748,16
Stonington,18483,23
Stratford,52529,39
Suffield,15675,22
Thomaston,7668,26
Thompson,9299,26
Tolland,14838,39
Torrington,35078,27
Trumbull,36455,40
Union,932,134
Vernon,29182,31
Voluntown,2570,18
Wallingford,44991,31
Warren,1467,108
Washington,3489,19
Waterbury,109250,42
Waterford,19200,49
Watertown,21976,36
West Hartford,63360,32
West Haven,55044,35
Westbrook,6927,15
Weston,10369,33
Westport,27777,39
Wethersfield,26395,29
Willington,5916,45
Wilton,18659,27
Winchester,10894,19
Windham,24839,28
Windsor,29037,30
Windsor Locks,12563,33
Wolcott,16696,31
Woodbridge,8907,24
Woodbury,9686,28
Woodstock,7827,21