Town,2015,2016,2017,2018
Andover,68,46,49,50
Ansonia,409,384,372,363
Ashford,48,64,64,47
Avon,381,430,442,383
Barkhamsted,87,73,92,80
Beacon Falls,123,96,129,98
Berlin,699,734,726,678
Bethany,104,100,101,105
Bethel,657,597,553,428
Bethlehem,36,25,36,33
Bloomfield,669,691,709,662
Bolton,103,115,112,98
Bozrah,56,56,71,46
Branford,800,759,805,724
Bridgeport,5547,6754,6640,5659
Bridgewater,22,26,26,24
Bristol,1820,1835,1918,1573
Brookfield,449,423,436,392
Brooklyn,129,121,127,109
Burlington,117,125,114,102
Canaan,28,31,30,31
Canterbury,51,61,54,58
Canton,249,289,277,241
Chaplin,45,46,46,43
Cheshire,724,700,739,605
Chester,68,46,65,62
Clinton,254,134,104,197
Colchester,290,256,276,262
Colebrook,23,29,21,23
Columbia,77,77,84,97
Cornwall,34,32,25,35
Coventry,208,248,234,186
Cromwell,586,655,622,477
Danbury,3639,3765,3697,3204
Darien,809,750,758,684
Deep River,74,69,70,47
Derby,589,572,555,353
Durham,122,122,119,99
East Granby,120,126,131,106
East Haddam,85,117,104,96
East Hampton,167,176,171,145
East Hartford,1823,1864,1799,1597
East Haven,686,584,647,575
East Lyme,446,492,393,278
East Windsor,290,262,348,323
Eastford,27,27,23,23
Easton,123,160,178,134
Ellington,193,233,233,177
Enfield,948,758,846,735
Essex,96,99,96,82
Fairfield,2184,2324,2350,2044
Farmington,1021,1096,1067,912
Franklin,78,64,73,65
Glastonbury,781,714,667,585
Goshen,49,42,52,48
Granby,215,168,181,162
Greenwich,2177,2251,2114,1787
Griswold,183,173,186,154
Groton,904,790,923,751
Guilford,473,438,434,405
Haddam,143,142,143,138
Hamden,1919,2094,2001,1884
Hampton,28,24,33,26
Hartford,6766,7628,7003,5202
Hartland,12,19,16,17
Harwinton,133,132,143,120
Hebron,94,85,108,94
Kent,53,47,46,42
Killingly,386,368,402,379
Killingworth,76,63,75,74
Lebanon,67,88,104,77
Ledyard,330,220,191,178
Lisbon,119,136,140,109
Litchfield,215,222,237,166
Lyme,22,25,19,20
Madison,270,304,286,259
Manchester,1887,1851,1835,1666
Mansfield,501,462,493,447
Marlborough,132,112,135,117
Meriden,2126,2407,2108,1227
Middlebury,320,362,267,278
Middlefield,87,80,80,96
Middletown,1623,1653,1534,1131
Milford,1635,1627,1459,1196
Monroe,524,438,476,367
Montville,498,449,472,429
Morris,39,42,41,38
Naugatuck,448,731,713,599
New Britain,1583,1887,2006,1757
New Canaan,495,503,474,462
New Fairfield,147,113,139,104
New Hartford,138,123,125,98
New Haven,8176,7766,7834,6648
New London,881,1138,1101,851
New Milford,708,668,681,578
Newington,765,984,933,814
Newtown,887,834,877,849
Norfolk,35,28,33,41
North Branford,258,253,243,240
North Canaan,61,53,58,60
North Haven,1289,1292,1231,1141
North Stonington,159,138,145,108
Norwalk,2565,2614,3556,3326
Norwich,1299,1217,1324,1245
Old Lyme,221,182,232,138
Old Saybrook,284,323,332,321
Orange,1102,1060,1157,989
Oxford,195,211,211,170
Plainfield,191,211,214,241
Plainville,669,706,702,608
Plymouth,213,263,269,217
Pomfret,65,66,71,48
Portland,134,180,178,160
Preston,185,171,171,153
Prospect,211,199,201,163
Putnam,196,249,207,187
Redding,183,203,169,152
Ridgefield,537,470,509,460
Rocky Hill,587,666,652,577
Roxbury,40,49,56,55
Salem,82,79,63,67
Salisbury,78,81,82,90
Scotland,19,8,14,28
Seymour,331,430,465,411
Sharon,50,46,51,51
Shelton,966,943,989,811
Sherman,58,46,42,47
Simsbury,390,426,400,371
Somers,139,121,122,106
South Windsor,473,472,466,384
Southbury,550,460,488,430
Southington,1018,1153,1255,1064
Sprague,33,22,30,15
Stafford,151,145,164,115
Stamford,5365,5442,4727,2692
Sterling,34,25,30,27
Stonington,485,504,517,461
Stratford,1985,2124,2123,1803
Suffield,186,224,223,190
Thomaston,200,252,263,219
Thompson,157,169,137,98
Tolland,292,294,286,234
Torrington,837,951,1013,884
Trumbull,1378,1323,1247,1092
Union,45,53,60,43
Vernon,730,791,817,682
Voluntown,41,47,44,40
Wallingford,1363,1550,1543,1270
Warren,19,9,20,9
Washington,81,76,68,61
Waterbury,5181,5641,6061,5565
Waterford,629,660,650,541
Watertown,406,495,492,428
West Hartford,1701,1819,1963,1788
West Haven,1491,1891,1945,1734
Westbrook,160,163,167,124
Weston,91,100,110,94
Westport,1225,1041,937,1148
Wethersfield,974,935,881,880
Willington,108,133,113,111
Wilton,583,503,514,425
Winchester,327,148,232,191
Windham,522,553,536,450
Windsor,914,1093,1187,1036
Windsor Locks,316,367,329,311
Wolcott,231,283,270,243
Woodbridge,313,344,330,309
Woodbury,177,149,145,140
Woodstock,93,106,91,86